cpu,lpm,transmit,listen,hops,d,_R,_Nb
53030,929988,8668,531875,1,135,250,90
12915,314767,57,187232,1,135,250,90
12780,314685,55,191597,1,135,250,90
54325,928697,8756,565266,2,67,250,90
18611,308858,2515,180394,1,135,250,90
13459,314226,171,184594,1,135,250,90
12844,314612,56,187624,1,135,250,90
17549,309906,182,191343,2,67,250,90
19193,308496,501,179940,2,67,250,90
21463,306007,2952,167190,1,135,250,90
14527,312917,354,175255,1,135,250,90
22604,304854,2493,183908,2,67,250,90
14613,312845,456,178228,1,135,250,90
11987,315471,112,193440,1,135,250,90
12047,315413,56,193644,1,135,250,90
16958,310506,2210,184926,1,135,250,90
23472,303982,2714,165615,2,67,250,90
14259,313189,410,184779,1,135,250,90
11894,315564,57,187111,1,135,250,90
11737,315730,55,193405,1,135,250,90
18254,309202,397,181800,2,67,250,90
13417,314052,398,186350,1,135,250,90
14066,313389,224,180822,1,135,250,90
11699,315757,56,192891,1,135,250,90
11740,315727,55,191074,1,135,250,90
11765,315703,55,191595,1,135,250,90
11722,315744,55,190835,1,135,250,90
11767,315701,55,192382,1,135,250,90
11728,315739,54,194432,1,135,250,90
12515,314953,55,184601,1,135,250,90
12932,314535,55,185888,1,135,250,90
12748,314719,55,194929,1,135,250,90
12783,314683,55,191356,1,135,250,90
22579,304896,506,185759,2,67,250,90
21760,305955,336,186200,2,67,250,90
18791,308678,849,183365,1,135,250,90
13774,313681,169,187304,1,135,250,90
22958,304739,505,192847,2,67,250,90
22144,305587,282,190876,2,67,250,90
17319,310138,748,171970,1,135,250,90
23658,304033,393,191468,2,67,250,90
16653,310805,591,171206,1,135,250,90
23928,303756,450,197027,2,67,250,90
15212,312246,409,183862,1,135,250,90
12752,314705,56,193405,1,135,250,90
24627,302826,392,192261,2,67,250,90
14982,312486,269,184255,1,135,250,90
12793,314665,56,192622,1,135,250,90
12741,314725,55,193903,1,135,250,90
16804,310662,2221,187262,1,135,250,90
11778,315671,57,191073,1,135,250,90
27697,299758,337,191185,2,67,250,90
13394,314075,351,181686,1,135,250,90
27316,300137,340,181326,2,67,250,90
14963,312491,464,175214,1,135,250,90
27306,300149,451,186828,2,67,250,90
13762,313697,397,170456,1,135,250,90
11853,315605,56,185879,1,135,250,90
11719,315747,54,193134,1,135,250,90
11668,315799,56,194927,1,135,250,90
11752,315716,55,192375,1,135,250,90
11735,315731,55,192621,1,135,250,90
11931,315537,56,184812,1,135,250,90
26384,301067,394,193791,2,67,250,90
26623,300833,336,193170,2,67,250,90
16103,311366,791,177328,1,135,250,90
26852,300602,394,190955,2,67,250,90
14285,313169,326,183987,1,135,250,90
27069,300385,396,186773,2,67,250,90
27032,300424,284,178411,2,67,250,90
17391,310072,751,169787,1,135,250,90
14607,312845,225,186329,1,135,250,90
12750,314708,56,192107,1,135,250,90
26155,301298,455,191780,2,67,250,90
13956,313511,213,183215,1,135,250,90
12700,314756,57,192648,1,135,250,90
12833,314634,55,192110,1,135,250,90
12723,314744,55,191358,1,135,250,90
12685,314781,55,193651,1,135,250,90
26065,301388,397,192495,2,67,250,90
15707,311760,453,174829,1,135,250,90
12810,314647,57,191596,1,135,250,90
12871,314595,55,186902,1,135,250,90
12835,314632,55,192110,1,135,250,90
26831,300625,507,174021,2,67,250,90
13924,313547,306,190057,1,135,250,90
26410,301047,281,191903,2,67,250,90
17350,310102,532,177281,1,135,250,90
12844,314613,56,191596,1,135,250,90
12771,314695,55,193651,1,135,250,90
12715,314751,54,192110,1,135,250,90
26580,300875,337,192477,2,67,250,90
27350,300104,393,191985,2,67,250,90
26578,300873,394,193522,2,67,250,90
20001,307466,971,164703,1,135,250,90
12692,314766,56,193405,1,135,250,90
12723,314744,55,191599,1,135,250,90
12828,314638,55,192896,1,135,250,90
26656,300800,342,191423,2,67,250,90
15513,311954,451,185540,1,135,250,90
24813,302628,394,191984,2,67,250,90
14009,313447,216,175158,1,135,250,90
26244,301212,451,189688,2,67,250,90
16436,311021,684,175947,1,135,250,90
12825,314632,56,185611,1,135,250,90
12730,314737,55,190833,1,135,250,90
24501,302955,336,191425,2,67,250,90
15369,312098,453,180206,1,135,250,90
12779,314679,56,193405,1,135,250,90
12773,314693,55,192895,1,135,250,90
12824,314642,55,193137,1,135,250,90
12686,314781,55,193652,1,135,250,90
12730,314737,55,191074,1,135,250,90
12835,314631,55,192639,1,135,250,90
12802,314665,55,193408,1,135,250,90
12722,314744,55,191598,1,135,250,90
12774,314692,55,191869,1,135,250,90
12830,314636,55,185090,1,135,250,90
25375,302081,341,196946,2,67,250,90
15243,312224,408,181476,1,135,250,90
25830,301623,450,179190,2,67,250,90
25559,301897,341,193242,2,67,250,90
17233,310224,797,173608,1,135,250,90
12823,314635,56,192107,1,135,250,90
25272,302181,395,192771,2,67,250,90
15093,312373,406,182322,1,135,250,90
12831,314626,56,193405,1,135,250,90
25503,301953,341,190918,2,67,250,90
14480,312987,396,184474,1,135,250,90
12717,314741,56,191867,1,135,250,90
12755,314711,55,193408,1,135,250,90
12813,314655,55,193652,1,135,250,90
12701,314765,55,192628,1,135,250,90
12886,314581,55,189807,1,135,250,90
12834,314633,56,185614,1,135,250,90
25933,301522,342,180452,2,67,250,90
19044,308422,2573,173123,1,135,250,90
11534,315914,57,190831,1,135,250,90
12479,314991,55,181437,1,135,250,90
25122,302331,282,180973,2,67,250,90
15025,312439,405,182230,1,135,250,90
12579,314878,56,192379,1,135,250,90
12503,314964,55,192624,1,135,250,90
12495,314972,55,193418,1,135,250,90
12576,314891,55,193905,1,135,250,90
25037,302419,229,193400,2,67,250,90
14825,312641,270,182487,1,135,250,90
25491,301963,339,192457,2,67,250,90
25503,301951,508,193875,2,67,250,90
17985,309475,804,171853,1,135,250,90
18877,308576,2390,181437,1,135,250,90
11457,315991,57,191353,1,135,250,90
