cpu,lpm,transmit,listen,hops,d,_R,_Nb
67446,915532,10737,8990,2,67,250,90
68533,915309,11452,10062,1,135,250,90
17968,309724,1458,3539,2,67,250,90
22399,305170,3047,4969,1,135,250,90
22175,305288,3488,3672,2,67,250,90
25621,301869,5288,5143,1,135,250,90
16954,310514,1317,3534,2,67,250,90
21365,306103,3132,4922,1,135,250,90
17512,309960,1317,3534,2,67,250,90
22027,305412,3078,4930,1,135,250,90
22180,305283,3486,3549,2,67,250,90
22511,304973,3125,5193,1,135,250,90
17066,310402,1318,3695,2,67,250,90
26680,300794,5285,4979,1,135,250,90
16960,310507,1317,3538,2,67,250,90
21052,306412,3130,4926,1,135,250,90
16954,310514,1317,3534,2,67,250,90
21143,306324,3129,4931,1,135,250,90
16954,310514,1317,3534,2,67,250,90
21106,306361,3132,4961,1,135,250,90
16986,310482,1317,3534,2,67,250,90
21597,305865,3125,4966,1,135,250,90
18261,309210,1317,3550,2,67,250,90
22336,305110,3082,4878,1,135,250,90
18241,309224,1320,3497,2,67,250,90
22306,305159,3076,4896,1,135,250,90
18252,309216,1321,3490,2,67,250,90
22249,305218,3080,4915,1,135,250,90
18265,309203,1321,3497,2,67,250,90
22242,305223,3079,4919,1,135,250,90
18314,309153,1319,3637,2,67,250,90
26202,301272,5235,4937,1,135,250,90
18284,309184,1320,3497,2,67,250,90
21144,306343,3125,4903,1,135,250,90
18235,309232,1319,3556,2,67,250,90
21089,306374,3125,4926,1,135,250,90
18236,309231,1320,3546,2,67,250,90
21033,306434,3124,4948,1,135,250,90
18282,309186,1320,3562,2,67,250,90
21062,306405,3126,4908,1,135,250,90
18235,309232,1319,3543,2,67,250,90
21065,306402,3125,4954,1,135,250,90
18236,309231,1320,3548,2,67,250,90
21039,306425,3126,4969,1,135,250,90
22169,305296,3479,3618,2,67,250,90
21312,306155,3132,5221,1,135,250,90
17224,310247,1317,3538,2,67,250,90
21692,305748,3081,4885,1,135,250,90
18233,309232,1318,3511,2,67,250,90
22325,305141,3082,4911,1,135,250,90
18286,309182,1320,3495,2,67,250,90
22325,305140,3082,4880,1,135,250,90
18235,309232,1319,3491,2,67,250,90
22444,305023,3133,4892,1,135,250,90
18236,309231,1320,3495,2,67,250,90
22238,305227,3081,4906,1,135,250,90
18314,309154,1320,3511,2,67,250,90
22434,305034,3082,4931,1,135,250,90
18264,309202,1318,3512,2,67,250,90
22424,305040,3079,5036,1,135,250,90
18241,309226,1321,3487,2,67,250,90
22294,305172,3078,4896,1,135,250,90
18264,309204,1321,3485,2,67,250,90
22366,305100,3081,4910,1,135,250,90
18272,309197,1321,3485,2,67,250,90
22246,305221,3080,4906,1,135,250,90
18235,309232,1319,3506,2,67,250,90
22288,305178,3085,4861,1,135,250,90
18318,309150,1320,3497,2,67,250,90
22378,305090,3081,4889,1,135,250,90
18265,309202,1318,3498,2,67,250,90
22274,305191,3081,4899,1,135,250,90
18236,309231,1320,3495,2,67,250,90
22245,305219,3078,4927,1,135,250,90
18345,309122,1321,3625,2,67,250,90
26760,300733,5288,4947,1,135,250,90
22577,304888,3479,3599,2,67,250,90
21222,306245,3126,5054,1,135,250,90
16954,310514,1317,3540,2,67,250,90
21345,306122,3130,4922,1,135,250,90
17006,310462,1317,3550,2,67,250,90
21378,306090,3135,4901,1,135,250,90
16982,310485,1317,3541,2,67,250,90
21103,306360,3131,4970,1,135,250,90
16954,310513,1318,3536,2,67,250,90
21041,306423,3130,4936,1,135,250,90
16984,310484,1317,3536,2,67,250,90
21091,306376,3129,4944,1,135,250,90
16954,310514,1318,3539,2,67,250,90
21157,306307,3130,4963,1,135,250,90
16954,310514,1317,3536,2,67,250,90
21059,306408,3130,4966,1,135,250,90
17039,310430,1317,3536,2,67,250,90
21109,306358,3127,4930,1,135,250,90
16982,310485,1317,3554,2,67,250,90
21044,306419,3134,4849,1,135,250,90
16980,310487,1317,3536,2,67,250,90
21133,306334,3131,4928,1,135,250,90
17771,309700,1318,3536,2,67,250,90
22194,305245,3081,4881,1,135,250,90
18155,309310,1319,3510,2,67,250,90
22275,305190,3082,4931,1,135,250,90
18157,309310,1320,3497,2,67,250,90
22269,305197,3081,4928,1,135,250,90
18296,309171,1319,3491,2,67,250,90
22485,304982,3081,4929,1,135,250,90
18156,309311,1319,3506,2,67,250,90
22166,305299,3081,4913,1,135,250,90
18264,309203,1320,3511,2,67,250,90
22173,305292,3082,4875,1,135,250,90
18200,309267,1321,3487,2,67,250,90
22197,305269,3079,4930,1,135,250,90
18270,309198,1321,3485,2,67,250,90
22167,305300,3081,4902,1,135,250,90
18156,309311,1319,3505,2,67,250,90
22459,305008,3083,4890,1,135,250,90
18301,309166,1320,3497,2,67,250,90
22412,305055,3081,4928,1,135,250,90
18263,309204,1319,3491,2,67,250,90
22390,305077,3134,4884,1,135,250,90
18156,309311,1319,3491,2,67,250,90
22279,305186,3084,4913,1,135,250,90
18199,309268,1320,3497,2,67,250,90
22206,305260,3080,4909,1,135,250,90
21847,305617,3474,3556,2,67,250,90
22371,305112,3128,5045,1,135,250,90
16427,311041,1318,3529,2,67,250,90
22223,305226,3082,4930,1,135,250,90
16483,310984,1318,3487,2,67,250,90
22322,305144,3081,4906,1,135,250,90
16412,311054,1318,3488,2,67,250,90
22351,305135,3125,4954,1,135,250,90
16406,311061,1317,3536,2,67,250,90
22352,305113,3125,4961,1,135,250,90
16451,311016,1320,3540,2,67,250,90
22371,305095,3177,4925,1,135,250,90
16406,311061,1317,3539,2,67,250,90
22302,305164,3125,4932,1,135,250,90
16436,311032,1320,3554,2,67,250,90
22364,305103,3129,4905,1,135,250,90
16480,310987,1317,3536,2,67,250,90
22441,305005,3078,4891,1,135,250,90
16412,311054,1318,3488,2,67,250,90
22302,305184,3125,4936,1,135,250,90
16406,311061,1317,3550,2,67,250,90
22248,305217,3125,4947,1,135,250,90
16456,311011,1317,3550,2,67,250,90
22482,304985,3129,5028,1,135,250,90
16478,310989,1317,3680,2,67,250,90
25117,302355,5287,4959,1,135,250,90
16436,311032,1317,3550,2,67,250,90
20595,306872,3129,4926,1,135,250,90
16484,310983,1317,3536,2,67,250,90
20579,306888,3129,4951,1,135,250,90
16406,311060,1318,3551,2,67,250,90
20639,306827,3185,4931,1,135,250,90
16465,311003,1317,3536,2,67,250,90
20575,306892,3129,4967,1,135,250,90
16460,311006,1317,3540,2,67,250,90
20627,306839,3131,4967,1,135,250,90
16406,311061,1317,3553,2,67,250,90
20545,306922,3130,4914,1,135,250,90
16406,311061,1317,3536,2,67,250,90
20636,306830,3183,4909,1,135,250,90
16488,310980,1320,3554,2,67,250,90
21248,306220,3130,4917,1,135,250,90
16436,311031,1318,3551,2,67,250,90
20515,306950,3130,4915,1,135,250,90
16436,311031,1317,3540,2,67,250,90
20578,306888,3182,4904,1,135,250,90
16463,311003,1318,3536,2,67,250,90
20558,306908,3130,4948,1,135,250,90
16438,311030,1318,3537,2,67,250,90
20573,306893,3131,4967,1,135,250,90
16405,311061,1317,3550,2,67,250,90
20637,306830,3185,4885,1,135,250,90
16493,310975,1317,3536,2,67,250,90
21088,306380,3129,4909,1,135,250,90
16437,311030,1317,3555,2,67,250,90
20596,306870,3129,4926,1,135,250,90
16405,311061,1317,3550,2,67,250,90
20639,306827,3185,4931,1,135,250,90
16468,310999,1317,3536,2,67,250,90
20752,306714,3181,4901,1,135,250,90
16406,311061,1317,3539,2,67,250,90
20502,306964,3131,4947,1,135,250,90
16405,311062,1320,3540,2,67,250,90
20514,306952,3134,4973,1,135,250,90
16826,310643,1320,3554,2,67,250,90
21270,306199,3186,4933,1,135,250,90
16406,311060,1317,3542,2,67,250,90
20558,306904,3129,4950,1,135,250,90
16405,311062,1320,3534,2,67,250,90
20575,306891,3132,4968,1,135,250,90
16471,310996,1320,3535,2,67,250,90
20670,306798,3130,4925,1,135,250,90
16438,311030,1318,3537,2,67,250,90
20580,306886,3181,4902,1,135,250,90
16405,311061,1317,3536,2,67,250,90
20502,306964,3131,4947,1,135,250,90
17492,309980,1320,3540,2,67,250,90
21636,305807,3082,4937,1,135,250,90
17684,309781,1321,3481,2,67,250,90
21877,305587,3080,4928,1,135,250,90
17687,309781,1321,3502,2,67,250,90
21857,305610,3082,4878,1,135,250,90
17756,309712,1321,3488,2,67,250,90
21994,305471,3080,4891,1,135,250,90
17686,309781,1321,3488,2,67,250,90
21701,305765,3080,4929,1,135,250,90
17748,309720,1321,3488,2,67,250,90
21734,305732,3077,4928,1,135,250,90
17878,309589,1319,3615,2,67,250,90
26070,301400,5241,4992,1,135,250,90
17694,309773,1319,3494,2,67,250,90
20425,307041,3082,4936,1,135,250,90
17726,309742,1319,3494,2,67,250,90
20565,306967,3135,4890,1,135,250,90
17767,309700,1319,3493,2,67,250,90
20484,307185,3083,4876,1,135,250,90
17694,309773,1319,3507,2,67,250,90
20555,306911,3138,4903,1,135,250,90
17695,309773,1319,3493,2,67,250,90
20527,306940,3082,4935,1,135,250,90
17799,309669,1319,3494,2,67,250,90
20439,307028,3082,4923,1,135,250,90
17725,309742,1319,3494,2,67,250,90
20427,307038,3083,4946,1,135,250,90
17693,309774,1321,3485,2,67,250,90
20759,306708,3125,5083,1,135,250,90
17766,309702,1321,3534,2,67,250,90
20512,306954,3081,4904,1,135,250,90
17694,309774,1321,3490,2,67,250,90
20435,307031,3085,4939,1,135,250,90
17725,309743,1321,3504,2,67,250,90
20510,306956,3083,4888,1,135,250,90
17802,309665,1319,3493,2,67,250,90
20791,306676,3135,4890,1,135,250,90
17725,309742,1319,3493,2,67,250,90
20449,307018,3082,4921,1,135,250,90
17724,309743,1321,3485,2,67,250,90
20562,306903,3083,4912,1,135,250,90
17775,309692,1319,3493,2,67,250,90
20432,307034,3082,4943,1,135,250,90
17694,309773,1319,3493,2,67,250,90
20552,306914,3134,4882,1,135,250,90
17695,309773,1319,3508,2,67,250,90
20644,306823,3082,4891,1,135,250,90
17840,309629,1319,3507,2,67,250,90
20735,306732,3083,4889,1,135,250,90
17694,309772,1320,3497,2,67,250,90
20439,307028,3084,4883,1,135,250,90
21170,306295,3478,3523,2,67,250,90
20794,306671,3135,5121,1,135,250,90
16517,310951,1318,3537,2,67,250,90
20603,306863,3129,4944,1,135,250,90
16397,311069,1317,3536,2,67,250,90
20518,306948,3133,4959,1,135,250,90
16430,311038,1320,3549,2,67,250,90
20669,306798,3128,4904,1,135,250,90
16544,310924,1318,3537,2,67,250,90
20459,307008,3080,4924,1,135,250,90
16404,311062,1319,3508,2,67,250,90
20749,306716,3183,4933,1,135,250,90
16398,311069,1318,3536,2,67,250,90
20723,306744,3183,4906,1,135,250,90
16487,310980,1317,3536,2,67,250,90
20498,306968,3128,4951,1,135,250,90
16398,311069,1318,3536,2,67,250,90
20593,306874,3130,4926,1,135,250,90
16397,311070,1317,3536,2,67,250,90
20671,306795,3132,4918,1,135,250,90
16547,310922,1320,3540,2,67,250,90
20899,306568,3130,4922,1,135,250,90
16397,311069,1317,3542,2,67,250,90
20515,306950,3133,4951,1,135,250,90
16397,311070,1320,3535,2,67,250,90
20644,306822,3133,4944,1,135,250,90
16490,310977,1320,3535,2,67,250,90
20616,306850,3130,4947,1,135,250,90
16398,311069,1317,3535,2,67,250,90
20517,306949,3133,4961,1,135,250,90
16427,311041,1320,3535,2,67,250,90
20716,306750,3128,4967,1,135,250,90
16553,310916,1318,3537,2,67,250,90
20577,306890,3131,4969,1,135,250,90
16431,311036,1317,3540,2,67,250,90
20529,306937,3132,4868,1,135,250,90
16434,311033,1319,3502,2,67,250,90
20653,306813,3130,4918,1,135,250,90
16495,310971,1317,3540,2,67,250,90
20515,306951,3130,4949,1,135,250,90
16397,311070,1317,3536,2,67,250,90
20521,306945,3132,4966,1,135,250,90
16396,311071,1320,3540,2,67,250,90
20794,306672,3182,4893,1,135,250,90
16526,310942,1317,3536,2,67,250,90
20681,306786,3129,4968,1,135,250,90
16427,311040,1318,3551,2,67,250,90
20576,306890,3129,4917,1,135,250,90
16397,311069,1318,3536,2,67,250,90
20705,306761,3130,4899,1,135,250,90
16499,310968,1317,3536,2,67,250,90
20546,306921,3129,4958,1,135,250,90
16406,311061,1317,3536,2,67,250,90
20522,306944,3134,4974,1,135,250,90
16405,311062,1320,3540,2,67,250,90
20680,306786,3129,4928,1,135,250,90
16536,310932,1320,3540,2,67,250,90
