cpu,lpm,transmit,listen,hops,d,_R,_Nb
55856,927166,8687,457525,2,90,250,52
18111,309571,928,154403,1,45,250,52
16708,310976,332,153549,2,90,250,52
17497,309958,948,154205,1,45,250,52
16115,311333,227,150653,2,90,250,52
19014,308441,2502,150999,1,45,250,52
19140,308314,2490,148259,2,90,250,52
18653,308799,1078,158937,1,45,250,52
16120,311329,346,157033,2,90,250,52
20879,306801,2958,156160,1,45,250,52
16844,310617,338,152251,2,90,250,52
16170,311279,895,158510,1,45,250,52
16140,311309,170,156057,2,90,250,52
15710,311747,740,162931,1,45,250,52
14947,312510,226,158602,2,90,250,52
14775,312682,627,162241,1,45,250,52
15281,312176,225,155769,2,90,250,52
16202,311256,677,153659,1,45,250,52
19813,307642,2505,146983,2,90,250,52
18858,308606,1085,158985,1,45,250,52
16601,310842,627,158901,1,45,250,52
15552,311903,349,164326,2,90,250,52
17615,309845,693,155478,1,45,250,52
17343,310112,229,157760,2,90,250,52
22248,305204,2555,153431,2,90,250,52
22417,305037,1569,145497,1,45,250,52
16450,311231,340,146955,2,90,250,52
19142,308307,1092,149648,1,45,250,52
15566,311882,563,161035,1,45,250,52
16585,310872,837,161737,1,45,250,52
16418,311039,397,150179,2,90,250,52
19820,307635,1171,159613,1,45,250,52
18996,308451,2673,159412,1,45,250,52
16441,311017,282,161375,2,90,250,52
17212,310245,225,164242,2,90,250,52
17925,309528,865,153756,1,45,250,52
20206,307246,1192,146705,1,45,250,52
15051,312397,741,162773,1,45,250,52
21911,305546,280,158364,2,90,250,52
16131,311332,808,161829,1,45,250,52
19238,308216,897,160080,1,45,250,52
16186,311270,746,161131,1,45,250,52
18527,308930,225,156839,2,90,250,52
18675,308781,224,156474,2,90,250,52
18889,308571,1109,154173,1,45,250,52
19280,308177,339,144312,2,90,250,52
19290,308166,168,161535,2,90,250,52
21161,306296,507,164447,2,90,250,52
21231,306227,282,156565,2,90,250,52
27932,299519,1979,142383,1,45,250,52
25176,302264,3127,157796,1,45,250,52
20277,307225,1194,159392,1,45,250,52
22791,304665,225,161317,2,90,250,52
16611,311048,909,159286,1,45,250,52
24945,302507,564,149117,2,90,250,52
19087,308518,1350,156309,1,45,250,52
14931,312599,491,161801,1,45,250,52
19719,307736,280,148806,2,90,250,52
16820,310638,967,157196,1,45,250,52
19815,307642,281,157772,2,90,250,52
17514,309946,999,160592,1,45,250,52
18229,309226,852,158719,1,45,250,52
20841,306616,225,153867,2,90,250,52
16846,310610,967,155146,1,45,250,52
21989,305466,395,160705,2,90,250,52
22501,304954,395,156290,2,90,250,52
18812,308650,1218,154345,1,45,250,52
21878,305578,282,159865,2,90,250,52
22873,304571,1541,148754,1,45,250,52
22111,305345,168,158319,2,90,250,52
16681,310769,945,154267,1,45,250,52
22330,305124,226,160370,2,90,250,52
18367,309092,1125,156208,1,45,250,52
23182,304275,284,154961,2,90,250,52
17505,309941,1183,158273,1,45,250,52
24183,303272,393,155676,2,90,250,52
19691,307756,1310,154500,1,45,250,52
24006,303448,395,156590,2,90,250,52
22681,304775,280,145732,2,90,250,52
22832,304623,282,160408,2,90,250,52
24945,302506,1874,150579,1,45,250,52
20274,307165,1023,158326,1,45,250,52
24036,303420,452,153487,2,90,250,52
18086,309362,1151,146928,1,45,250,52
16315,311129,682,160046,1,45,250,52
15056,312403,740,163349,1,45,250,52
23133,304322,337,160449,2,90,250,52
15956,311505,762,162137,1,45,250,52
23729,303725,395,150044,2,90,250,52
18243,309209,1115,152010,1,45,250,52
21539,305915,279,152850,2,90,250,52
16961,310494,764,157515,1,45,250,52
20995,306461,338,158592,2,90,250,52
18854,308602,1069,155480,1,45,250,52
19483,307959,1106,162042,1,45,250,52
26417,301038,2442,146754,2,90,250,52
18070,309378,1082,154154,1,45,250,52
14679,312770,377,163829,1,45,250,52
15638,311817,652,163670,1,45,250,52
21026,306417,338,159916,2,90,250,52
18383,309074,967,159674,1,45,250,52
15047,312412,469,163255,1,45,250,52
16367,311088,785,158028,1,45,250,52
21996,305461,281,157790,2,90,250,52
23699,303754,507,154092,2,90,250,52
22024,305432,283,155261,2,90,250,52
21724,305737,1474,155123,1,45,250,52
24211,303246,449,160536,2,90,250,52
22238,305208,1431,156317,1,45,250,52
